"plot","THYARC","RUMACETOSA","POAGLA","POAALP","FESRIC","ARAPET","CERALP","SILACA","EMPNIG","RUMACETOSELLA","FESVIV","VISALP","GALNOR","MINUARTIASP","SILUNI","LUZSPI","ARENOR","ARMMAR","DRAINC","AGRVIN","MINRUB","DRANOR","TRISPI","SAXCES","THAALP","JUNTRI","CARBIG","DRYOCT","BETNAN","VACULI","BISVIV","EQUVAR","EQUARV","KOBMYO","AGRCAP","SALLAN","CARRUP","AGRSTO","POAPRA","SALHER","TOFPUS","HARHYP","PINVUL","BARALP","SALARC","CERFON","CERALPSSPGLA","ALCALP","POASP","ANTALP","FESRUB","DESFLE","ANTODO","LOIPRO","RANACR","CALVUL","GALVER","COEVIR","PARPAL","PLATHYP","VACMYR","ERIBOR","HIERACIUM","OMASUP","CARVAG","SALPHY"
"AH1C",0,0.1,3.3,0.1,11,0,0.1,3.2,36,0,0.1,0,0,0,0,0,0,6,0,0,0,0,0.1,0,2.2,0,1.1,0.1,57,1.1,0.30000000000000004,1.2,5.1,10.1,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH1CF",0,0,2,1,3,0,0.2,4,32,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0.30000000000000004,9,10,1.1,29,1,4.2,0.30000000000000004,2,14,0,0.1,2,0,0,0.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH1NPK",0,0.1,0.30000000000000004,0,10,0,0,1.1,48,0,0,0,1.1,0,0,0,0,1.2,0,0,0,0,0,0,9.1,14.1,5,1.1,65,2.1,0.30000000000000004,0.2,1,2.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH1NPKF",0.1,0,3,0,11,0,0,5,38,0,0,0,0,0,0,0.1,0,2.2,0,0,0,0,0,0,2.2,6.1,4.1,1.2,45,3,2.2,0.2,5,1.1,0,0.1,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH2C",0.1,0,1,0.1,5.1,0,1,4,28,0,0,0,0,0,0,0.2,0,1.2,0,0,0,0,1,0,2.2,7,0,4.1,26,4.1,2.1,2.2,0,2.2,0,0,1.2,0,0,2.2,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH2CF",0.1,0,0,0,5.1,0,0.30000000000000004,4.1,10.1,0,0,0,0,0,0,0.1,0,3.1,0,0,0,0,0,0,3,0,0.2,1.1,3,3.3,3.3,0.4,1.2,10.1,0,0,1.2,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH2NPK",0.2,0,0.1,2.2,11.1,0,0.1,3,18,0,1.2,0,0,0,0,0,0,3,0,0,0,0,0,0,2.2,21.1,0.1,10.1,25,4,5.1,2.2,3,23.1,0,0,0,0,0,1,0.2,0,4.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH2NPKF",0,0,0.1,0.1,8,0,0.2,0.1,25,0,0,0,0,0,0,2.2,0,2.1,0,0,0,0,0,0,1.2,2,0,5,40,14.1,1.2,1.1,2,1.2,0,0,2,0,0,0.1,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH3C",0,0,0,0,3.1,0,1,0,38,0,1.1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11.1,0,28,16.2,3.1,2.2,2.2,4.1,0,0,0.1,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH3CF",0,0,0.1,0,7,0,0.2,5.2,16,0,4,0,0,0,0,1,0,7,0,0,0,0,0,0,2.1,1,0,1,11,0.2,3.2,1.2,7,1.1,0,0,3,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH3NPK",0,0.2,0,0.1,5.1,0,1.1,0,14,0,0,0,0.1,0,0,3.1,0,3.2,0,0,0,0,0.1,0,3.1,9,0.2,0.1,57,0.1,5.2,5.2,0.1,9,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AH3NPKF",0,0,0.30000000000000004,0,5.1,0,0.2,4,43,0,0.1,0,0,0,0,2,0,6,0,0,0,0,0,0,0.30000000000000004,0.1,1.3,6.1,39,5.1,5.1,0.4,1.1,5.2,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AM1C",1.2,1.3,0.30000000000000004,0,1.2,0.1,0.30000000000000004,1,0,0.2,1,0.2,0,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AM1CF",0.30000000000000004,1.1,1.2,0.1,1.1,0,0.4,0.1,0,0,0.1,0,0,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AM1NPK",1.3,0.4,0.30000000000000004,1.3,3.1,0.30000000000000004,1.2,1.1,1.1,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AM1NPKF",5.2,0.4,0.30000000000000004,2.1,4.2,0.4,0.2,0.2,0,0.30000000000000004,0.1,0,0.1,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AM2C",8.1,1.2,4.1,1.3,4.1,0.30000000000000004,0.2,1.2,0,0,1,1.1,0.4,0,0,1.2,0.2,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
